icd_class,icd_class_short,icd3,age_band,sex,deaths,age_band_label,age_band_order
XI,Пищеварение,K31,65_69,жен,1,65-69,14
XI,Пищеварение,K31,75_79,муж,1,75-79,16
XI,Пищеварение,K35,50_54,муж,2,50-54,11
XI,Пищеварение,K35,55_59,муж,1,55-59,12
XI,Пищеварение,K35,60_64,муж,2,60-64,13
XI,Пищеварение,K35,65_69,жен,1,65-69,14
XI,Пищеварение,K35,65_69,муж,3,65-69,14
XI,Пищеварение,K35,70_74,муж,1,70-74,15
XI,Пищеварение,K35,75_79,муж,1,75-79,16
XI,Пищеварение,K35,80_plus,жен,1,80+,17
XI,Пищеварение,K40,55_59,жен,1,55-59,12
XI,Пищеварение,K40,60_64,муж,2,60-64,13
XI,Пищеварение,K40,65_69,жен,1,65-69,14
XI,Пищеварение,K40,65_69,муж,3,65-69,14
XI,Пищеварение,K40,70_74,жен,2,70-74,15
XI,Пищеварение,K40,70_74,муж,2,70-74,15
XI,Пищеварение,K40,75_79,муж,1,75-79,16
XI,Пищеварение,K40,80_plus,жен,4,80+,17
XI,Пищеварение,K40,80_plus,муж,5,80+,17
XI,Пищеварение,K41,55_59,жен,1,55-59,12
XI,Пищеварение,K41,75_79,жен,1,75-79,16
XI,Пищеварение,K41,80_plus,жен,2,80+,17
XI,Пищеварение,K42,55_59,жен,4,55-59,12
XI,Пищеварение,K42,60_64,муж,1,60-64,13
XI,Пищеварение,K42,65_69,жен,2,65-69,14
XI,Пищеварение,K42,70_74,жен,6,70-74,15
XI,Пищеварение,K42,75_79,жен,6,75-79,16
XI,Пищеварение,K42,75_79,муж,1,75-79,16
XI,Пищеварение,K42,80_plus,жен,4,80+,17
XI,Пищеварение,K43,40_44,жен,1,40-44,9
XI,Пищеварение,K43,40_44,муж,1,40-44,9
XI,Пищеварение,K43,45_49,жен,2,45-49,10
XI,Пищеварение,K43,45_49,муж,1,45-49,10
XI,Пищеварение,K43,50_54,жен,1,50-54,11
XI,Пищеварение,K43,50_54,муж,1,50-54,11
XI,Пищеварение,K43,55_59,жен,3,55-59,12
XI,Пищеварение,K43,55_59,муж,2,55-59,12
XI,Пищеварение,K43,60_64,жен,5,60-64,13
XI,Пищеварение,K43,60_64,муж,2,60-64,13
XI,Пищеварение,K43,65_69,жен,9,65-69,14
XI,Пищеварение,K43,65_69,муж,4,65-69,14
XI,Пищеварение,K43,70_74,жен,6,70-74,15
XI,Пищеварение,K43,70_74,муж,1,70-74,15
XI,Пищеварение,K43,75_79,жен,4,75-79,16
XI,Пищеварение,K43,75_79,муж,1,75-79,16
XI,Пищеварение,K43,80_plus,жен,16,80+,17
XI,Пищеварение,K43,80_plus,муж,1,80+,17
XI,Пищеварение,K44,25_29,муж,1,25-29,6
XI,Пищеварение,K44,40_44,муж,2,40-44,9
XI,Пищеварение,K44,50_54,муж,1,50-54,11
XI,Пищеварение,K44,60_64,жен,3,60-64,13
XI,Пищеварение,K44,60_64,муж,1,60-64,13
XI,Пищеварение,K44,70_74,жен,1,70-74,15
XI,Пищеварение,K44,70_74,муж,1,70-74,15
XI,Пищеварение,K44,75_79,жен,3,75-79,16
XI,Пищеварение,K44,80_plus,жен,2,80+,17
XI,Пищеварение,K45,55_59,муж,1,55-59,12
XI,Пищеварение,K45,60_64,жен,1,60-64,13
XI,Пищеварение,K45,65_69,жен,1,65-69,14
XI,Пищеварение,K45,80_plus,жен,3,80+,17
XI,Пищеварение,K46,60_64,муж,1,60-64,13
XI,Пищеварение,K50,25_29,муж,1,25-29,6
XI,Пищеварение,K50,35_39,муж,1,35-39,8
XI,Пищеварение,K50,40_44,жен,1,40-44,9
XI,Пищеварение,K50,40_44,муж,1,40-44,9
XI,Пищеварение,K50,50_54,жен,1,50-54,11
XI,Пищеварение,K50,50_54,муж,2,50-54,11
XI,Пищеварение,K50,55_59,жен,2,55-59,12
XI,Пищеварение,K50,55_59,муж,1,55-59,12
XI,Пищеварение,K50,60_64,жен,2,60-64,13
XI,Пищеварение,K50,60_64,муж,2,60-64,13
XI,Пищеварение,K50,65_69,жен,3,65-69,14
XI,Пищеварение,K50,65_69,муж,1,65-69,14
XI,Пищеварение,K50,70_74,муж,1,70-74,15
XI,Пищеварение,K50,75_79,жен,1,75-79,16
XI,Пищеварение,K50,75_79,муж,2,75-79,16
XI,Пищеварение,K50,80_plus,жен,1,80+,17
XI,Пищеварение,K51,30_34,муж,1,30-34,7
XI,Пищеварение,K51,35_39,жен,1,35-39,8
XI,Пищеварение,K51,35_39,муж,3,35-39,8
XI,Пищеварение,K51,40_44,жен,1,40-44,9
XI,Пищеварение,K51,45_49,муж,2,45-49,10
XI,Пищеварение,K51,50_54,муж,1,50-54,11
XI,Пищеварение,K51,55_59,жен,4,55-59,12
XI,Пищеварение,K51,55_59,муж,6,55-59,12
XI,Пищеварение,K51,60_64,жен,1,60-64,13
XI,Пищеварение,K51,60_64,муж,6,60-64,13
XI,Пищеварение,K51,65_69,жен,4,65-69,14
XI,Пищеварение,K51,65_69,муж,5,65-69,14
XI,Пищеварение,K51,70_74,жен,10,70-74,15
XI,Пищеварение,K51,70_74,муж,3,70-74,15
XI,Пищеварение,K51,75_79,жен,5,75-79,16
XI,Пищеварение,K51,75_79,муж,1,75-79,16
XI,Пищеварение,K51,80_plus,жен,15,80+,17
XI,Пищеварение,K51,80_plus,муж,4,80+,17
