year,mo_key,mo_id,mo_name,icd_class,deaths,population,asmr_per100k,crude_rate_per100k,icd_class_short,stability_flag,regional_deaths,regional_population,regional_asmr_per100k,asmr_ratio_vs_region,crude_rank_within_class_year,asmr_rank_within_class_year,rank_shift_to_higher_risk
2016,курильский,357,Курильский,XIII,0,6874.0,0.0,0.0,Костно-мышечные,very_low_count,10,482192.0,2.073862693698776,0.0,5.0,5.0,0.0
2016,курильский,357,Курильский,XIV,0,6874.0,0.0,0.0,Мочеполовая система,very_low_count,105,482192.0,21.775558283837142,0.0,15.0,15.0,0.0
2016,курильский,357,Курильский,XIX,7,6874.0,121.48658668776598,101.83299389002036,Травмы и отравления,low_count,777,482192.0,161.13913130039487,0.7539235548024099,15.0,15.0,0.0
2016,курильский,357,Курильский,XV,0,6874.0,0.0,0.0,Беременность и роды,very_low_count,2,482192.0,0.41477253873975517,0.0,3.0,3.0,0.0
2016,курильский,357,Курильский,XVI,0,6874.0,0.0,0.0,Перинатальные состояния,very_low_count,11,482192.0,2.281248963068653,0.0,8.0,8.0,0.0
2016,курильский,357,Курильский,XVII,0,6874.0,0.0,0.0,Врожденные аномалии,very_low_count,18,482192.0,3.732952848657796,0.0,10.0,10.0,0.0
2016,курильский,357,Курильский,XVIII,0,6874.0,0.0,0.0,Симптомы и неточные причины,very_low_count,176,482192.0,36.49998340909845,0.0,18.0,18.0,0.0
2016,курильский,357,Курильский,XXII,0,6874.0,0.0,0.0,Специальные коды,very_low_count,0,482192.0,0.0,,1.0,1.0,0.0
2016,макаровский,366,Макаровский,I,2,7090.0,24.967408974965558,28.208744710860366,Инфекционные болезни,very_low_count,71,482192.0,14.724425125261307,1.6956457561206468,3.0,4.0,-1.0
2016,макаровский,366,Макаровский,II,24,7090.0,313.23617595342427,338.5049365303244,Новообразования,ok,1143,482192.0,237.04250588977004,1.3214346295304773,5.0,5.0,0.0
2016,макаровский,366,Макаровский,III,0,7090.0,0.0,0.0,Кровь и иммунитет,very_low_count,2,482192.0,0.4147725387397551,0.0,3.0,3.0,0.0
2016,макаровский,366,Макаровский,IV,1,7090.0,11.780184824362527,14.104372355430183,Эндокринные и обмен,very_low_count,85,482192.0,17.627832896439593,0.6682718683328254,12.0,12.0,0.0
2016,макаровский,366,Макаровский,IX,67,7090.0,843.0879215700613,944.9929478138223,Кровообращение,ok,2861,482192.0,593.3321166672197,1.420937612994446,6.0,7.0,-1.0
2016,макаровский,366,Макаровский,V,1,7090.0,11.780184824362527,14.104372355430183,Психические расстройства,very_low_count,15,482192.0,3.1107940405481633,3.786873920552677,4.0,4.0,0.0
2016,макаровский,366,Макаровский,VI,0,7090.0,0.0,0.0,Нервная система,very_low_count,64,482192.0,13.272721239672164,0.0,16.0,16.0,0.0
2016,макаровский,366,Макаровский,VIII,0,7090.0,0.0,0.0,Ухо,very_low_count,0,482192.0,0.0,,1.0,1.0,0.0
2016,макаровский,366,Макаровский,X,6,7090.0,75.81881635944293,84.6262341325811,Дыхание,low_count,447,482192.0,92.70166240833527,0.8178797919013984,10.0,13.0,-3.0
2016,макаровский,366,Макаровский,XI,22,7090.0,287.3322526665719,310.29619181946407,Пищеварение,ok,577,482192.0,119.66187742641935,2.401201275178503,1.0,1.0,0.0
2016,макаровский,366,Макаровский,XII,0,7090.0,0.0,0.0,Кожа,very_low_count,7,482192.0,1.4517038855891429,0.0,5.0,5.0,0.0
2016,макаровский,366,Макаровский,XIII,1,7090.0,11.780184824362527,14.104372355430183,Костно-мышечные,very_low_count,10,482192.0,2.073862693698776,5.680310880829015,2.0,2.0,0.0
2016,макаровский,366,Макаровский,XIV,0,7090.0,0.0,0.0,Мочеполовая система,very_low_count,105,482192.0,21.775558283837142,0.0,15.0,15.0,0.0
2016,макаровский,366,Макаровский,XIX,16,7090.0,224.7195716532945,225.66995768688292,Травмы и отравления,low_count,777,482192.0,161.13913130039487,1.3945685932386793,7.0,9.0,-2.0
2016,макаровский,366,Макаровский,XV,0,7090.0,0.0,0.0,Беременность и роды,very_low_count,2,482192.0,0.41477253873975517,0.0,3.0,3.0,0.0
2016,макаровский,366,Макаровский,XVI,0,7090.0,0.0,0.0,Перинатальные состояния,very_low_count,11,482192.0,2.281248963068653,0.0,8.0,8.0,0.0
2016,макаровский,366,Макаровский,XVII,0,7090.0,0.0,0.0,Врожденные аномалии,very_low_count,18,482192.0,3.732952848657796,0.0,10.0,10.0,0.0
2016,макаровский,366,Макаровский,XVIII,1,7090.0,14.350028674363474,14.104372355430183,Симптомы и неточные причины,very_low_count,176,482192.0,36.49998340909845,0.39315164923572005,15.0,14.0,1.0
2016,макаровский,366,Макаровский,XXII,0,7090.0,0.0,0.0,Специальные коды,very_low_count,0,482192.0,0.0,,1.0,1.0,0.0
2016,невельский,358,Невельский,I,3,12138.0,26.33744840668701,24.715768660405335,Инфекционные болезни,very_low_count,71,482192.0,14.724425125261307,1.788691115791158,4.0,3.0,1.0
2016,невельский,358,Невельский,II,37,12138.0,297.1947052449784,304.82781347833253,Новообразования,ok,1143,482192.0,237.04250588977004,1.253761236320968,9.0,7.0,2.0
2016,невельский,358,Невельский,III,0,12138.0,0.0,0.0,Кровь и иммунитет,very_low_count,2,482192.0,0.4147725387397551,0.0,3.0,3.0,0.0
2016,невельский,358,Невельский,IV,4,12138.0,31.692359628561263,32.95435821387378,Эндокринные и обмен,very_low_count,85,482192.0,17.627832896439593,1.7978590910606131,5.0,6.0,-1.0
2016,невельский,358,Невельский,IX,120,12138.0,961.947159352035,988.6307464162136,Кровообращение,ok,2861,482192.0,593.3321166672197,1.6212625818324937,3.0,2.0,1.0
2016,невельский,358,Невельский,V,0,12138.0,0.0,0.0,Психические расстройства,very_low_count,15,482192.0,3.1107940405481633,0.0,8.0,8.0,0.0
2016,невельский,358,Невельский,VI,2,12138.0,16.119676368499654,16.47717910693689,Нервная система,very_low_count,64,482192.0,13.272721239672164,1.214496716793685,5.0,7.0,-2.0
2016,невельский,358,Невельский,VIII,0,12138.0,0.0,0.0,Ухо,very_low_count,0,482192.0,0.0,,1.0,1.0,0.0
2016,невельский,358,Невельский,X,13,12138.0,104.55105498315038,107.1016641950898,Дыхание,low_count,447,482192.0,92.70166240833527,1.1278228703453075,7.0,7.0,0.0
2016,невельский,358,Невельский,XI,23,12138.0,188.06323012858732,189.48755972977426,Пищеварение,ok,577,482192.0,119.66187742641935,1.5716219248208627,6.0,5.0,1.0
2016,невельский,358,Невельский,XII,0,12138.0,0.0,0.0,Кожа,very_low_count,7,482192.0,1.4517038855891429,0.0,5.0,5.0,0.0
2016,невельский,358,Невельский,XIII,0,12138.0,0.0,0.0,Костно-мышечные,very_low_count,10,482192.0,2.073862693698776,0.0,5.0,5.0,0.0
2016,невельский,358,Невельский,XIV,5,12138.0,39.56600140677468,41.19294776734223,Мочеполовая система,low_count,105,482192.0,21.775558283837142,1.8169913666986188,3.0,5.0,-2.0
2016,невельский,358,Невельский,XIX,23,12138.0,194.8915703384472,189.48755972977426,Травмы и отравления,ok,777,482192.0,161.13913130039487,1.2094614682707403,10.0,10.0,0.0
