icd_class,icd_class_short,icd3,deaths,mean_age,median_age,male_deaths,working_age_deaths,top_description,class_deaths,share_within_class,male_share,working_age_share,deaths_2016,deaths_2017,deaths_2018,deaths_2019,deaths_2020,deaths_2021,deaths_2022,deaths_2023,deaths_2024,deaths_2025,rank_within_class
IX,Кровообращение,I51,85,74.17647058823529,76.0,35,14,"Внутрисердечный тромбоз, не классифицированный в других рубриках",17233,0.004932397145012476,0.4117647058823529,0.16470588235294117,9.0,8.0,14.0,22.0,7.0,5.0,9.0,4.0,4.0,3.0,18
IX,Кровообращение,I33,82,46.97560975609756,43.0,62,72,Острый и подострый инфекционный эндокардит,17233,0.0047583125398943885,0.7560975609756098,0.8780487804878049,10.0,0.0,10.0,10.0,9.0,11.0,9.0,6.0,13.0,4.0,19
IX,Кровообращение,I62,69,56.63768115942029,56.0,49,51,Нетравматическое субдуральное кровоизлияние,17233,0.00400394591771601,0.7101449275362319,0.7391304347826086,11.0,13.0,5.0,8.0,5.0,3.0,4.0,6.0,7.0,7.0,20
IX,Кровообращение,I74,57,72.96491228070175,73.0,27,9,Эмболия и тромбоз артерий нижних конечностей,17233,0.0033076074972436605,0.47368421052631576,0.15789473684210525,4.0,7.0,6.0,4.0,4.0,6.0,7.0,8.0,8.0,3.0,21
IX,Кровообращение,I82,41,71.14634146341463,71.0,20,7,Эмболия и тромбоз других уточненных вен,17233,0.0023791562699471943,0.4878048780487805,0.17073170731707318,1.0,3.0,6.0,5.0,12.0,9.0,0.0,0.0,1.0,4.0,22
IX,Кровообращение,I08,36,70.22222222222223,72.0,7,10,Комбинированное поражение митрального и аортального клапанов,17233,0.0020890152614170487,0.19444444444444445,0.2777777777777778,3.0,3.0,1.0,7.0,6.0,2.0,2.0,2.0,6.0,4.0,23
IX,Кровообращение,I13,26,67.1923076923077,65.0,9,11,Гипертензивная болезнь с поражением почек и сердечной недостаточностью,17233,0.0015087332443567574,0.34615384615384615,0.4230769230769231,12.0,3.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,24
IX,Кровообращение,I40,25,45.32,46.0,13,21,Инфекционный миокардит,17233,0.0014507050426507283,0.52,0.84,2.0,1.0,4.0,2.0,4.0,4.0,4.0,0.0,0.0,4.0,25
IX,Кровообращение,I72,21,67.0,68.0,14,8,Аневризма и расслоение подвздошной артерии,17233,0.0012185922358266118,0.6666666666666666,0.38095238095238093,0.0,2.0,0.0,3.0,1.0,4.0,2.0,3.0,3.0,3.0,26
IX,Кровообращение,I05,19,69.3157894736842,67.0,4,4,Митральный стеноз с недостаточностью,17233,0.0011025358324145535,0.21052631578947367,0.21052631578947367,2.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,0.0,1.0,27
IX,Кровообращение,I83,19,63.578947368421055,62.0,12,11,Варикозное расширение вен нижних конечностей без язвы или воспаления,17233,0.0011025358324145535,0.631578947368421,0.5789473684210527,3.0,3.0,5.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,28
IX,Кровообращение,I36,16,76.3125,80.0,6,4,Неревматическая недостаточность трехстворчатого клапана,17233,0.0009284512272964661,0.375,0.25,0.0,0.0,0.0,3.0,6.0,4.0,0.0,0.0,0.0,3.0,29
IX,Кровообращение,I30,15,72.4,70.0,9,3,Острый неспецифический идиопатический перикардит,17233,0.0008704230255904369,0.6,0.2,5.0,0.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,30
IX,Кровообращение,I06,11,69.45454545454545,70.0,5,3,Ревматический аортальный стеноз с недостаточностью,17233,0.0006383102187663204,0.45454545454545453,0.2727272727272727,0.0,2.0,0.0,2.0,0.0,2.0,3.0,0.0,1.0,1.0,31
IX,Кровообращение,I12,11,78.0,83.0,4,1,Гипертензивная болезнь с почечной недостаточностью,17233,0.0006383102187663204,0.36363636363636365,0.09090909090909091,1.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,32
IX,Кровообращение,I26,10,59.3,67.5,6,4,Тромбоэмболия легочной артерии без острого легочным сердцем,17233,0.0005802820170602913,0.6,0.4,4.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,33
IX,Кровообращение,I31,9,62.666666666666664,68.0,7,4,Хронический перикардит,17233,0.0005222538153542622,0.7777777777777778,0.4444444444444444,0.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,34
IX,Кровообращение,I28,7,68.28571428571429,67.0,3,2,Другие уточненные болезни легочных сосудов,17233,0.0004061974119422039,0.42857142857142855,0.2857142857142857,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,35
IX,Кровообращение,I64,6,73.66666666666667,72.0,2,2,Инсульт неуточненный как геморрагический или ишемический,17233,0.0003481692102361748,0.3333333333333333,0.3333333333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
IX,Кровообращение,I73,6,57.5,51.5,5,4,Облитерирующий тромбангиит [болезнь Бюргера],17233,0.0003481692102361748,0.8333333333333334,0.6666666666666666,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,37
IX,Кровообращение,I87,4,65.25,65.0,2,2,Посттромботический синдром,17233,0.00023211280682411653,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,38
IX,Кровообращение,I27,3,57.666666666666664,54.0,0,2,Первичная легочная гипертензия,17233,0.0001740846051180874,0.0,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39
IX,Кровообращение,I48,3,78.0,86.0,2,1,Фибрилляция и трепетание предсердий,17233,0.0001740846051180874,0.6666666666666666,0.3333333333333333,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40
IX,Кровообращение,I66,3,67.66666666666667,64.0,2,2,Закупорка мозговой артерии средней,17233,0.0001740846051180874,0.6666666666666666,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
IX,Кровообращение,I44,2,43.5,43.5,1,2,Атриовентрикулярная блокада III степени,17233,0.00011605640341205826,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42
IX,Кровообращение,I45,2,34.0,34.0,2,2,Синдром преждевременного возбуждения,17233,0.00011605640341205826,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,43
IX,Кровообращение,I85,2,51.0,51.0,2,1,Варикозное расширение вен пищевода с кровотечением,17233,0.00011605640341205826,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44
