mo_key,mo_id,mo_name,icd_class,deaths,person_years,asmr_per100k,crude_rate_per100k,icd_class_short,stability_flag,regional_deaths,regional_person_years,regional_asmr_per100k,asmr_ratio_vs_region,crude_rank_within_class,asmr_rank_within_class,rank_shift_to_higher_risk
александровск-сахалинский,368,Александровск-Сахалинский,XVIII,17,30663.0,50.163764197489634,55.44141147311092,Симптомы и неточные причины,low_count,552,1446576.0,38.15907356405747,1.3145959666258653,3.0,4.0,-1.0
александровск-сахалинский,368,Александровск-Сахалинский,XXII,0,30663.0,0.0,0.0,Специальные коды,very_low_count,20,1446576.0,1.382575129132517,0.0,6.0,6.0,0.0
анивский,360,Анивский,I,2,62997.0,3.5285264439711757,3.1747543533819074,Инфекционные болезни,very_low_count,203,1446576.0,14.03313756069505,0.25144244675931265,15.0,15.0,0.0
анивский,360,Анивский,II,107,62997.0,207.8476254291984,169.84935790593204,Новообразования,ok,3384,1446576.0,233.93171184922187,0.8884970053276244,14.0,13.0,1.0
анивский,360,Анивский,III,1,62997.0,1.881603836683274,1.5873771766909537,Кровь и иммунитет,very_low_count,20,1446576.0,1.382575129132517,1.3609414758269718,8.0,7.0,1.0
анивский,360,Анивский,IV,23,62997.0,45.51411775707911,36.50967506389193,Эндокринные и обмен,low_count,866,1446576.0,59.86550309143799,0.760272868459174,15.0,15.0,0.0
анивский,360,Анивский,IX,179,62997.0,357.5145200806759,284.1405146276807,Кровообращение,ok,6028,1446576.0,416.70814392054064,0.8579494432651357,15.0,15.0,0.0
анивский,360,Анивский,V,1,62997.0,2.1111791614216506,1.5873771766909537,Психические расстройства,very_low_count,95,1446576.0,6.567231863379456,0.32147169543291426,15.0,15.0,0.0
анивский,360,Анивский,VI,33,62997.0,69.02453099239322,52.38344683080147,Нервная система,ok,1199,1446576.0,82.8853789914944,0.8327708919503938,13.0,12.0,1.0
анивский,360,Анивский,VIII,0,62997.0,0.0,0.0,Ухо,very_low_count,4,1446576.0,0.27651502582650345,0.0,5.0,5.0,0.0
анивский,360,Анивский,X,41,62997.0,80.79155020865093,65.0824642443291,Дыхание,ok,1219,1446576.0,84.26795412062691,0.9587458370355163,13.0,12.0,1.0
анивский,360,Анивский,XI,54,62997.0,99.66987623321035,85.7183675413115,Пищеварение,ok,2060,1446576.0,142.40523830064924,0.6999031596210316,15.0,16.0,-1.0
анивский,360,Анивский,XII,0,62997.0,0.0,0.0,Кожа,very_low_count,48,1446576.0,3.318180309918041,0.0,10.0,10.0,0.0
анивский,360,Анивский,XIII,1,62997.0,1.801582475213446,1.5873771766909537,Костно-мышечные,very_low_count,76,1446576.0,5.2537854907035655,0.3429113119295218,17.0,17.0,0.0
анивский,360,Анивский,XIV,34,62997.0,72.20015330676694,53.97082400749242,Мочеполовая система,ok,838,1446576.0,57.929897910652464,1.2463366225523829,11.0,6.0,5.0
анивский,360,Анивский,XIX,97,62997.0,157.4589167807825,153.97558613902248,Травмы и отравления,ok,2748,1446576.0,189.96582274280786,0.8288802401785924,14.0,15.0,-1.0
анивский,360,Анивский,XV,0,62997.0,0.0,0.0,Беременность и роды,very_low_count,3,1446576.0,0.20738626936987756,0.0,4.0,4.0,0.0
анивский,360,Анивский,XVI,0,62997.0,0.0,0.0,Перинатальные состояния,very_low_count,33,1446576.0,2.281248963068653,0.0,11.0,11.0,0.0
анивский,360,Анивский,XVII,1,62997.0,1.1271314354879798,1.5873771766909537,Врожденные аномалии,very_low_count,36,1446576.0,2.4886352324385306,0.45291146761734996,12.0,13.0,-1.0
анивский,360,Анивский,XVIII,12,62997.0,22.48130784251421,19.04852612029144,Симптомы и неточные причины,low_count,552,1446576.0,38.15907356405747,0.5891471082172615,16.0,14.0,2.0
анивский,360,Анивский,XXII,0,62997.0,0.0,0.0,Специальные коды,very_low_count,20,1446576.0,1.382575129132517,0.0,6.0,6.0,0.0
долинский,363,Долинский,I,14,67134.0,20.925203779870387,20.853814758542615,Инфекционные болезни,low_count,203,1446576.0,14.03313756069505,1.491127959757132,5.0,6.0,-1.0
долинский,363,Долинский,II,180,67134.0,253.68267219416163,268.12047546697653,Новообразования,ok,3384,1446576.0,233.93171184922187,1.0844304527539645,9.0,9.0,0.0
долинский,363,Долинский,III,1,67134.0,1.5135174297223162,1.4895581970387584,Кровь и иммунитет,very_low_count,20,1446576.0,1.382575129132517,1.0947089947089947,9.0,8.0,1.0
долинский,363,Долинский,IV,48,67134.0,67.87961158298603,71.4987934578604,Эндокринные и обмен,ok,866,1446576.0,59.86550309143799,1.133868556642836,10.0,13.0,-3.0
долинский,363,Долинский,IX,412,67134.0,598.4329723877265,613.6979771799683,Кровообращение,ok,6028,1446576.0,416.70814392054064,1.4360961769488187,4.0,2.0,2.0
долинский,363,Долинский,V,2,67134.0,3.0113071529492093,2.9791163940775167,Психические расстройства,very_low_count,95,1446576.0,6.567231863379456,0.45853522695627946,13.0,13.0,0.0
долинский,363,Долинский,VI,86,67134.0,125.48375080029683,128.10200494533322,Нервная система,ok,1199,1446576.0,82.8853789914944,1.5139431384294426,6.0,6.0,0.0
долинский,363,Долинский,VIII,0,67134.0,0.0,0.0,Ухо,very_low_count,4,1446576.0,0.27651502582650345,0.0,5.0,5.0,0.0
долинский,363,Долинский,X,60,67134.0,85.93140309456385,89.3734918223255,Дыхание,ok,1219,1446576.0,84.26795412062691,1.0197399947737638,10.0,9.0,1.0
долинский,363,Долинский,XI,114,67134.0,169.2619378173416,169.80963446241844,Пищеварение,ok,2060,1446576.0,142.40523830064924,1.1885934803886347,11.0,11.0,0.0
долинский,363,Долинский,XII,2,67134.0,3.1870566408441405,2.9791163940775167,Кожа,very_low_count,48,1446576.0,3.318180309918041,0.9604832598511986,8.0,7.0,1.0
долинский,363,Долинский,XIII,3,67134.0,4.249558482408876,4.468674591116275,Костно-мышечные,very_low_count,76,1446576.0,5.2537854907035655,0.8088564883222502,12.0,12.0,0.0
долинский,363,Долинский,XIV,40,67134.0,58.09328320296322,59.582327881550334,Мочеполовая система,ok,838,1446576.0,57.929897910652464,1.0028203966898535,10.0,13.0,-3.0
долинский,363,Долинский,XIX,159,67134.0,251.82919223264528,236.83975332916256,Травмы и отравления,ok,2748,1446576.0,189.96582274280786,1.3256552604917433,10.0,8.0,2.0
долинский,363,Долинский,XV,0,67134.0,0.0,0.0,Беременность и роды,very_low_count,3,1446576.0,0.20738626936987756,0.0,4.0,4.0,0.0
долинский,363,Долинский,XVI,2,67134.0,2.7733365583717395,2.9791163940775167,Перинатальные состояния,very_low_count,33,1446576.0,2.281248963068653,1.2157097288676235,4.0,6.0,-2.0
долинский,363,Долинский,XVII,3,67134.0,3.9535860813246932,4.468674591116275,Врожденные аномалии,very_low_count,36,1446576.0,2.4886352324385306,1.5886563164384304,6.0,6.0,0.0
долинский,363,Долинский,XVIII,25,67134.0,37.261443788523344,37.23895492596896,Симптомы и неточные причины,low_count,552,1446576.0,38.15907356405747,0.9764766360475896,8.0,9.0,-1.0
долинский,363,Долинский,XXII,0,67134.0,0.0,0.0,Специальные коды,very_low_count,20,1446576.0,1.382575129132517,0.0,6.0,6.0,0.0
корсаковский,362,Корсаковский,I,12,122394.0,9.688592199934764,9.804402176577282,Инфекционные болезни,low_count,203,1446576.0,14.03313756069505,0.6904081256262478,11.0,11.0,0.0
корсаковский,362,Корсаковский,II,273,122394.0,235.30661628310958,223.0501495171332,Новообразования,ok,3384,1446576.0,233.93171184922187,1.0058773751665353,10.0,10.0,0.0
