year,icd_class,icd_class_short,icd3,deaths
2018,XI,Пищеварение,K66,1
2018,XI,Пищеварение,K70,40
2018,XI,Пищеварение,K71,20
2018,XI,Пищеварение,K74,189
2018,XI,Пищеварение,K76,13
2018,XI,Пищеварение,K80,13
2018,XI,Пищеварение,K81,3
2018,XI,Пищеварение,K82,2
2018,XI,Пищеварение,K83,2
2018,XI,Пищеварение,K85,79
2018,XI,Пищеварение,K86,20
2018,XIX,Травмы и отравления,S01,3
2018,XIX,Травмы и отравления,S02,58
2018,XIX,Травмы и отравления,S06,55
2018,XIX,Травмы и отравления,S07,3
2018,XIX,Травмы и отравления,S11,2
2018,XIX,Травмы и отравления,S12,1
2018,XIX,Травмы и отравления,S14,2
2018,XIX,Травмы и отравления,S15,8
2018,XIX,Травмы и отравления,S19,2
2018,XIX,Травмы и отравления,S21,5
2018,XIX,Травмы и отравления,S22,6
2018,XIX,Травмы и отравления,S23,1
2018,XIX,Травмы и отравления,S24,1
2018,XIX,Травмы и отравления,S25,9
2018,XIX,Травмы и отравления,S26,7
2018,XIX,Травмы и отравления,S27,6
2018,XIX,Травмы и отравления,S29,1
2018,XIX,Травмы и отравления,S31,1
2018,XIX,Травмы и отравления,S32,1
2018,XIX,Травмы и отравления,S35,1
2018,XIX,Травмы и отравления,S36,16
2018,XIX,Травмы и отравления,S37,4
2018,XIX,Травмы и отравления,S51,2
2018,XIX,Травмы и отравления,S55,3
2018,XIX,Травмы и отравления,S61,1
2018,XIX,Травмы и отравления,S72,17
2018,XIX,Травмы и отравления,S75,2
2018,XIX,Травмы и отравления,S79,1
2018,XIX,Травмы и отравления,S82,3
2018,XIX,Травмы и отравления,S85,1
2018,XIX,Травмы и отравления,S95,1
2018,XIX,Травмы и отравления,T01,4
2018,XIX,Травмы и отравления,T02,8
2018,XIX,Травмы и отравления,T05,1
2018,XIX,Травмы и отравления,T06,78
2018,XIX,Травмы и отравления,T17,36
2018,XIX,Травмы и отравления,T21,1
2018,XIX,Травмы и отравления,T29,6
2018,XIX,Травмы и отравления,T34,3
2018,XIX,Травмы и отравления,T35,1
2018,XIX,Травмы и отравления,T36,1
2018,XIX,Травмы и отравления,T40,6
2018,XIX,Травмы и отравления,T42,2
2018,XIX,Травмы и отравления,T44,2
2018,XIX,Травмы и отравления,T46,1
2018,XIX,Травмы и отравления,T50,1
2018,XIX,Травмы и отравления,T51,108
2018,XIX,Травмы и отравления,T52,4
2018,XIX,Травмы и отравления,T54,3
2018,XIX,Травмы и отравления,T58,29
2018,XIX,Травмы и отравления,T59,1
2018,XIX,Травмы и отравления,T65,46
2018,XIX,Травмы и отравления,T68,41
2018,XIX,Травмы и отравления,T69,5
2018,XIX,Травмы и отравления,T71,145
2018,XIX,Травмы и отравления,T75,50
2018,XIX,Травмы и отравления,T78,1
2018,XIX,Травмы и отравления,T81,1
2018,XIX,Травмы и отравления,T82,1
2018,XIX,Травмы и отравления,T84,1
2018,XIX,Травмы и отравления,T85,2
2018,XIX,Травмы и отравления,T90,9
2018,XIX,Травмы и отравления,T91,3
2018,XIX,Травмы и отравления,T93,4
2019,II,Новообразования,C00,1
2019,II,Новообразования,C01,3
2019,II,Новообразования,C02,4
2019,II,Новообразования,C03,3
2019,II,Новообразования,C04,6
2019,II,Новообразования,C05,3
2019,II,Новообразования,C06,2
2019,II,Новообразования,C08,3
2019,II,Новообразования,C10,13
2019,II,Новообразования,C12,1
2019,II,Новообразования,C13,8
2019,II,Новообразования,C14,3
2019,II,Новообразования,C15,44
2019,II,Новообразования,C16,126
2019,II,Новообразования,C17,4
2019,II,Новообразования,C18,82
2019,II,Новообразования,C19,14
2019,II,Новообразования,C20,34
2019,II,Новообразования,C21,10
2019,II,Новообразования,C22,64
2019,II,Новообразования,C23,1
2019,II,Новообразования,C24,2
2019,II,Новообразования,C25,92
2019,II,Новообразования,C30,1
2019,II,Новообразования,C31,2
2019,II,Новообразования,C32,19
2019,II,Новообразования,C34,248
2019,II,Новообразования,C38,4
2019,II,Новообразования,C41,2
2019,II,Новообразования,C43,8
2019,II,Новообразования,C44,4
2019,II,Новообразования,C45,2
