year,municipality,icd_class,deaths
2023,Посёлок Углегорск,IX,20
2023,Посёлок Углегорск,XI,2
2023,Посёлок Углегорск,XVIII,1
2023,Посёлок Углегорск,XX,10
2023,Рабочий посёлок Прогресс,I,2
2023,Рабочий посёлок Прогресс,II,21
2023,Рабочий посёлок Прогресс,IV,13
2023,Рабочий посёлок Прогресс,IX,80
2023,Рабочий посёлок Прогресс,VI,14
2023,Рабочий посёлок Прогресс,X,4
2023,Рабочий посёлок Прогресс,XI,18
2023,Рабочий посёлок Прогресс,XIII,4
2023,Рабочий посёлок Прогресс,XVIII,7
2023,Рабочий посёлок Прогресс,XX,26
2023,Райчихинск,I,7
2023,Райчихинск,II,33
2023,Райчихинск,IV,18
2023,Райчихинск,IX,276
2023,Райчихинск,VI,6
2023,Райчихинск,X,9
2023,Райчихинск,XI,29
2023,Райчихинск,XIII,1
2023,Райчихинск,XIX,2
2023,Райчихинск,XVII,1
2023,Райчихинск,XVIII,2
2023,Райчихинск,XX,35
2023,Ромненский,II,9
2023,Ромненский,IV,1
2023,Ромненский,IX,64
2023,Ромненский,VI,2
2023,Ромненский,X,3
2023,Ромненский,XI,5
2023,Ромненский,XX,25
2023,Свободненский,I,11
2023,Свободненский,II,12
2023,Свободненский,IV,2
2023,Свободненский,IX,77
2023,Свободненский,VI,3
2023,Свободненский,XI,9
2023,Свободненский,XIII,1
2023,Свободненский,XVII,1
2023,Свободненский,XVIII,2
2023,Свободненский,XX,34
2023,Свободный,I,7
2023,Свободный,II,117
2023,Свободный,IV,17
2023,Свободный,IX,474
2023,Свободный,VI,84
2023,Свободный,VIII,2
2023,Свободный,X,19
2023,Свободный,XI,62
2023,Свободный,XIII,2
2023,Свободный,XIV,2
2023,Свободный,XVII,2
2023,Свободный,XVIII,20
2023,Свободный,XX,83
2023,Селемджинский,II,6
2023,Селемджинский,IV,2
2023,Селемджинский,IX,61
2023,Селемджинский,VI,5
2023,Селемджинский,X,3
2023,Селемджинский,XI,3
2023,Селемджинский,XIV,1
2023,Селемджинский,XVIII,1
2023,Селемджинский,XX,17
2023,Серышевский,I,1
2023,Серышевский,II,40
2023,Серышевский,IV,11
2023,Серышевский,IX,112
2023,Серышевский,V,1
2023,Серышевский,VI,6
2023,Серышевский,X,14
2023,Серышевский,XI,19
2023,Серышевский,XIV,3
2023,Серышевский,XIX,1
2023,Серышевский,XVII,1
2023,Серышевский,XVIII,3
2023,Серышевский,XX,58
2023,Сковородинский,I,1
2023,Сковородинский,II,41
2023,Сковородинский,IV,3
2023,Сковородинский,IX,180
2023,Сковородинский,X,13
2023,Сковородинский,XI,17
2023,Сковородинский,XIV,1
2023,Сковородинский,XVIII,1
2023,Сковородинский,XX,71
2023,Тамбовский,I,1
2023,Тамбовский,II,48
2023,Тамбовский,III,1
2023,Тамбовский,IV,10
2023,Тамбовский,IX,93
2023,Тамбовский,VI,28
2023,Тамбовский,X,12
2023,Тамбовский,XI,12
2023,Тамбовский,XII,1
2023,Тамбовский,XIII,2
2023,Тамбовский,XIV,3
2023,Тамбовский,XVIII,7
2023,Тамбовский,XX,46
2023,Тында,I,5
2023,Тында,II,53
2023,Тында,IV,21
2023,Тында,IX,210
2023,Тында,VI,11
2023,Тында,X,7
2023,Тында,XI,40
2023,Тында,XII,1
2023,Тында,XIII,4
2023,Тында,XIV,4
2023,Тында,XVII,3
2023,Тында,XVIII,13
2023,Тында,XX,48
2023,Тындинский,II,13
2023,Тындинский,IV,3
2023,Тындинский,IX,65
2023,Тындинский,VI,1
2023,Тындинский,X,3
2023,Тындинский,XI,6
2023,Тындинский,XVIII,9
2023,Тындинский,XX,39
2023,Шимановск,I,4
2023,Шимановск,II,25
2023,Шимановск,IV,8
2023,Шимановск,IX,121
2023,Шимановск,VI,22
2023,Шимановск,X,6
2023,Шимановск,XI,20
2023,Шимановск,XIII,6
2023,Шимановск,XIV,1
2023,Шимановск,XVIII,8
2023,Шимановск,XX,39
2023,Шимановский,I,1
2023,Шимановский,II,1
2023,Шимановский,IX,20
2023,Шимановский,VI,7
2023,Шимановский,X,1
2023,Шимановский,XI,6
2023,Шимановский,XIII,1
2023,Шимановский,XIV,1
2023,Шимановский,XVIII,2
2023,Шимановский,XX,22
2024,Архаринский,I,2
2024,Архаринский,II,17
2024,Архаринский,IV,13
2024,Архаринский,IX,105
2024,Архаринский,V,1
2024,Архаринский,VI,1
2024,Архаринский,X,8
2024,Архаринский,XI,14
2024,Архаринский,XIV,2
2024,Архаринский,XVIII,7
2024,Архаринский,XX,40
2024,Белогорск,I,18
2024,Белогорск,II,103
2024,Белогорск,III,2
2024,Белогорск,IV,35
2024,Белогорск,IX,358
2024,Белогорск,V,1
2024,Белогорск,VI,29
2024,Белогорск,X,31
2024,Белогорск,XI,58
2024,Белогорск,XII,2
2024,Белогорск,XIII,4
2024,Белогорск,XIV,14
2024,Белогорск,XVII,1
2024,Белогорск,XVIII,18
2024,Белогорск,XX,95
2024,Белогорский,I,1
2024,Белогорский,II,48
2024,Белогорский,IV,5
2024,Белогорский,IX,103
2024,Белогорский,X,11
2024,Белогорский,XI,14
2024,Белогорский,XIII,3
2024,Белогорский,XIV,1
2024,Белогорский,XIX,1
2024,Белогорский,XVIII,2
2024,Белогорский,XX,101
2024,Благовещенск,I,45
2024,Благовещенск,II,608
2024,Благовещенск,III,4
2024,Благовещенск,IV,177
2024,Благовещенск,IX,1332
2024,Благовещенск,V,11
2024,Благовещенск,VI,127
2024,Благовещенск,X,116
2024,Благовещенск,XI,290
2024,Благовещенск,XII,11
2024,Благовещенск,XIII,49
2024,Благовещенск,XIV,41
2024,Благовещенск,XV,1
