Позиция,Код,Расшифровка,Семейство,Смертей
Причина б,Y15.7,"Y15, место 7",Внешняя причина отравления алкоголем (Y15),1
Причина г,Y15.0,"Y15, место 0",Внешняя причина отравления алкоголем (Y15),438
Причина г,Y15,"Отравление алкоголем / воздействие алкоголя, намерение не установлено",Внешняя причина отравления алкоголем (Y15),108
Причина г,I11.9,Гипертензивная болезнь сердца,Другие болезни системы кровообращения (I),35
Причина г,F10.2,Алкогольная зависимость,Алкогольные психические/поведенческие расстройства (F10),33
Причина г,Y15.9,"Y15, место не уточнено",Внешняя причина отравления алкоголем (Y15),27
Причина г,K76.0,Жировая дегенерация печени,"Болезни печени, поджелудочной и пищеварения (K)",12
Причина г,K86.1,Хронический панкреатит,"Болезни печени, поджелудочной и пищеварения (K)",10
Причина г,Y15.8,"Y15, место 8",Внешняя причина отравления алкоголем (Y15),10
Причина г,F10.1,Алкогольная зависимость,Алкогольные психические/поведенческие расстройства (F10),8
Причина г,Y15.2,"Y15, место 2",Внешняя причина отравления алкоголем (Y15),8
Причина г,Y15.4,"Y15, место 4",Внешняя причина отравления алкоголем (Y15),5
Причина г,J44.8,"ХОБЛ, другая уточненная",Другие болезни органов дыхания (J),4
Причина г,K70.0,Алкогольная жировая болезнь печени,"Болезни печени, поджелудочной и пищеварения (K)",4
Причина г,I42.6,Алкогольная кардиомиопатия,Алкогольная кардиомиопатия (I42.6),4
Причина г,N11.8,Хронический тубулоинтерстициальный нефрит,Болезни мочеполовой системы (N),3
Причина г,K74.6,Цирроз печени неуточненный,"Болезни печени, поджелудочной и пищеварения (K)",3
Причина г,G31.2,"Дегенерация нервной системы, вызванная алкоголем",Алкогольная дегенерация нервной системы (G31.2),3
Причина г,Y19.0,МКБ-код без расшифровки в справочнике отчета,Другие коды Y,3
Причина г,I67.8,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),2
Причина г,J45.8,МКБ-код без расшифровки в справочнике отчета,Другие болезни органов дыхания (J),2
Причина г,F10.3,Алкогольное состояние абстиненции,Алкогольные психические/поведенческие расстройства (F10),2
Причина г,Y15.5,"Y15, место 5",Внешняя причина отравления алкоголем (Y15),2
Причина г,I70.2,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),2
Причина г,N11.1,МКБ-код без расшифровки в справочнике отчета,Болезни мочеполовой системы (N),1
Причина г,F10.201,Психические и поведенческие расстройства вследствие употребления алкоголя,Алкогольные психические/поведенческие расстройства (F10),1
